subject,id,date,count,code,number,name,group,enrollment,count_prop,day,peak_demand,peak_demand_day,section,times,locations,rating,workload
AFAM,2,2019-08-22,0,AFAM 115,115,HistoriesQueer&TransPolitics,1,12,0,1,19,2019-09-01,1,TTh 11.35-12.50,NA,0,0
AFAM,2,2019-08-23,0,AFAM 115,115,HistoriesQueer&TransPolitics,1,12,0,2,19,2019-09-01,1,TTh 11.35-12.50,NA,0,0
AFAM,2,2019-08-24,0,AFAM 115,115,HistoriesQueer&TransPolitics,1,12,0,3,19,2019-09-01,1,TTh 11.35-12.50,NA,0,0
AFAM,2,2019-08-25,2,AFAM 115,115,HistoriesQueer&TransPolitics,1,12,0.16666666666666666,4,19,2019-09-01,1,TTh 11.35-12.50,NA,0,0
AFAM,2,2019-08-26,6,AFAM 115,115,HistoriesQueer&TransPolitics,1,12,0.5,5,19,2019-09-01,1,TTh 11.35-12.50,NA,0,0
AFAM,2,2019-08-27,11,AFAM 115,115,HistoriesQueer&TransPolitics,1,12,0.9166666666666666,6,19,2019-09-01,1,TTh 11.35-12.50,NA,0,0
AFAM,2,2019-08-28,11,AFAM 115,115,HistoriesQueer&TransPolitics,1,12,0.9166666666666666,7,19,2019-09-01,1,TTh 11.35-12.50,NA,0,0
AFAM,2,2019-08-29,15,AFAM 115,115,HistoriesQueer&TransPolitics,1,12,1.25,8,19,2019-09-01,1,TTh 11.35-12.50,NA,0,0
AFAM,2,2019-08-30,15,AFAM 115,115,HistoriesQueer&TransPolitics,1,12,1.25,9,19,2019-09-01,1,TTh 11.35-12.50,NA,0,0
AFAM,2,2019-08-31,17,AFAM 115,115,HistoriesQueer&TransPolitics,1,12,1.4166666666666667,10,19,2019-09-01,1,TTh 11.35-12.50,NA,0,0
AFAM,2,2019-09-01,19,AFAM 115,115,HistoriesQueer&TransPolitics,1,12,1.5833333333333333,11,19,2019-09-01,1,TTh 11.35-12.50,NA,0,0
AFAM,2,2019-09-02,19,AFAM 115,115,HistoriesQueer&TransPolitics,1,12,1.5833333333333333,12,19,2019-09-01,1,TTh 11.35-12.50,NA,0,0
AFAM,2,2019-09-03,15,AFAM 115,115,HistoriesQueer&TransPolitics,1,12,1.25,13,19,2019-09-01,1,TTh 11.35-12.50,NA,0,0
AFAM,2,2019-09-04,15,AFAM 115,115,HistoriesQueer&TransPolitics,1,12,1.25,14,19,2019-09-01,1,TTh 11.35-12.50,NA,0,0
AFAM,2,2019-09-05,15,AFAM 115,115,HistoriesQueer&TransPolitics,1,12,1.25,15,19,2019-09-01,1,TTh 11.35-12.50,NA,0,0
AFAM,2,2019-09-06,14,AFAM 115,115,HistoriesQueer&TransPolitics,1,12,1.1666666666666667,16,19,2019-09-01,1,TTh 11.35-12.50,NA,0,0
AFAM,2,2019-09-07,14,AFAM 115,115,HistoriesQueer&TransPolitics,1,12,1.1666666666666667,17,19,2019-09-01,1,TTh 11.35-12.50,NA,0,0
AFAM,2,2019-09-08,14,AFAM 115,115,HistoriesQueer&TransPolitics,1,12,1.1666666666666667,18,19,2019-09-01,1,TTh 11.35-12.50,NA,0,0
AFAM,2,2019-09-09,13,AFAM 115,115,HistoriesQueer&TransPolitics,1,12,1.0833333333333333,19,19,2019-09-01,1,TTh 11.35-12.50,NA,0,0
AFAM,2,2019-09-10,12,AFAM 115,115,HistoriesQueer&TransPolitics,1,12,1,20,19,2019-09-01,1,TTh 11.35-12.50,NA,0,0
AFAM,2,2019-09-11,12,AFAM 115,115,HistoriesQueer&TransPolitics,1,12,1,21,19,2019-09-01,1,TTh 11.35-12.50,NA,0,0
AFAM,3,2019-08-22,34,AFAM 160,160,Rise &Fall of Atlantic Slavery,2,38,0.8947368421052632,1,56,2019-09-03,1,TTh 10.30-11.20 + 1,WLH 207,3.8200000000000003,3.2800000000000002
