code,subject,number,enrollment,peak_demand,peak_demand_day,section,times,locations,rating,workload,id,name
AFAM 115,AFAM,115,12,19,2019-09-01,1,TTh 11.35-12.50,NA,0,0,2,HistoriesQueer&TransPolitics
AFAM 160,AFAM,160,38,56,2019-09-03,1,TTh 10.30-11.20 + 1,WLH 207,3.8200000000000003,3.2800000000000002,3,Rise &Fall of Atlantic Slavery
AFAM 170,AFAM,170,337,375,2019-09-03,1,TTh 13.30-14.20 + 1,SSS 114,4.99,2.56,4,Sickness and Health
AFAM 180,AFAM,180,31,72,2019-08-28,1,TTh 13.00-14.15,WLH 119,4.31,3.04,5,Caribbean Baseball
AFAM 183,AFAM,183,6,25,2019-08-27,1,TTh 13.30-14.20,LORIA B51,3,3.8,6,Afro-Modernism in 20th Century
AFAM 192,AFAM,192,81,137,2019-09-01,1,TTh 11.35-12.50,WLH 201,4.13,3.17,7,Third World Studies
AFAM 202,AFAM,202,15,30,2019-08-27,1,W 9.25-11.15,PR230 101,4.5,4.09,8,Life&WritingsFrederickDouglass
AFAM 203,AFAM,203,29,48,2019-08-29,1,TTh 9.00-10.15,STOECK 106,4.3,3.39,9,Coltrane and Hendrix
AFAM 213,AFAM,213,16,58,2019-08-28,1,W 13.30-15.20,WALL81 301,4.9,3.21,10,"Medicine, Race, Slave Trade"
AFAM 216,AFAM,216,12,20,2019-08-27,1,T 15.30-17.20 + 1,WALL81 301 + 1,4.2,2.6,11,FamilyNarrativesCulturalsShift
AFAM 227,AFAM,227,16,58,2019-08-27,1,W 9.25-11.15,WALL81 201,0,0,12,FrmVotingRightActto#blacklives
AFAM 231,AFAM,231,9,16,2019-08-26,1,TTh 13.00-14.15,WLH 012,3.63,3.38,13,Sex&Gender inThe BlackDiaspora
AFAM 244,AFAM,244,18,67,2019-08-27,1,W 13.30-15.20,WLH 203,0,0,14,Crime and Punishment in Cities
AFAM 246,AFAM,246,12,25,2019-08-27,1,W 15.30-17.20,WALL81 201,0,0,15,Intro African American Cinema
AFAM 248,AFAM,248,15,28,2019-08-27,3,W 17.45-19.35,WALL81 101,0,0,16,Golden Age of Television
AFAM 253,AFAM,253,32,44,2019-08-28,1,TTh 11.35-12.50,STOECK 312,3.84,2.47,17,"Jazz in Transition, 1960-2000"
AFAM 259,AFAM,259,25,44,2019-08-27,1,W 13.30-15.20,WALL81 201,3.94,3.46,18,Education and Empire
AFAM 305,AFAM,305,17,26,2019-08-28,1,MW 11.35-12.50,WLH 112,4.54,3.67,19,African American Autobiography
AFAM 313,AFAM,313,17,40,2019-08-28,1,TTh 13.30-15.20,ELM294 303,4.65,2.49,20,Embodying Story
AFAM 315,AFAM,315,24,31,2019-09-03,1,M 15.30-17.20,YK220 100,0,0,21,Black Feminist Theory
AFAM 373,AFAM,373,18,63,2019-08-28,1,M 15.30-17.20,RKZ 08,4,3.2,22,White America
AFAM 378,AFAM,378,0,11,2019-08-22,1,1 HTBA,NA,4.86,3.43,23,Anthropology of Youth
AFAM 390,AFAM,390,5,17,2019-08-22,1,M 13.30-15.20,WALL81 201,3.59,2.4,24,EthngrphyAfrAmerCommunity
AFAM 399,AFAM,399,17,47,2019-08-27,1,M 13.30-15.20,RKZ 08,3.66,3.44,25,Race and Capitalism
AFAM 426,AFAM,426,17,50,2019-08-28,1,T 13.30-15.20,WALL81 201,4.42,3.64,26,Toni Morrison Black Life
AFAM 471,AFAM,471,0,1,2019-08-22,1,1 HTBA,NA,0,0,27,IndepStudy:AfricanAmerStudies
AFAM 480,AFAM,480,11,11,2019-08-27,1,M 9.25-11.15,WALL81 201,4.04,2.92,28,SeniorColloquium:AfrAmerStud
AFAM 491,AFAM,491,1,2,2019-08-25,1,1 HTBA,NA,3.8200000000000003,4.22,29,The Senior Essay
AFST 128,AFST,128,14,37,2019-08-27,1,T 13.30-15.20,YK220 001,4.05,2.99,40,"Magic&Ritual,Egypt & Near East"
AFST 160,AFST,160,18,36,2019-08-29,1,M 13.30-15.20,WALL81 301,4.29,2.71,41,Africa in the World
AFST 184,AFST,184,38,56,2019-09-03,1,TTh 10.30-11.20 + 1,WLH 207,3.41,3.16,3,Rise &Fall of Atlantic Slavery
AFST 231,AFST,231,9,16,2019-08-26,1,TTh 13.00-14.15,WLH 012,3.63,3.38,13,Sex&Gender inThe BlackDiaspora
AFST 234,AFST,234,18,59,2019-08-28,1,Th 13.30-15.20,RKZ 06,4.75,2.25,44,"Markets,Socialism,Development"
AFST 238,AFST,238,81,137,2019-09-01,1,TTh 11.35-12.50,WLH 201,4.11,3.17,7,Third World Studies
AFST 250,AFST,250,12,24,2019-08-28,1,M 9.25-11.15,LC 206,4.65,3.42,46,AfricanReconNarratives
AFST 295,AFST,295,11,50,2019-08-28,1,TTh 11.35-12.50,LC 209,0,0,47,Postcolonial Ecologies
AFST 306,AFST,306,14,14,2019-08-29,1,M 15.30-17.20,WLH 011,4.38,2.85,48,SoclEntrprisInDvlpngEconmiesII
AFST 327,AFST,327,14,24,2019-08-27,1,W 15.30-17.20,RKZ 04,4.02,2.7,49,Human-Wildlife Conflict Africa
AFST 333,AFST,333,77,96,2019-09-03,1,MW 11.35-12.25,LORIA 351,4.54,3.51,50,AfricanEncountrsWithColonialsm
AFST 335,AFST,335,0,7,2019-08-22,1,1 HTBA,NA,4.62,3.66,51,History of South Africa
AFST 382,AFST,382,6,14,2019-08-28,1,F 15.30-17.20,RKZ 02,4.05,2.95,52,Child Health and Dev in Africa
AFST 400,AFST,400,12,23,2019-08-28,1,W 13.30-15.20,WTS A38,4.04,3.3,53,Democracy&PublicPolicyinAfrica
AFST 435,AFST,435,19,29,2019-08-28,1,TTh 10.30-12.20,NA,4.49,1.82,54,W.AfricanDance:Tradtnl-Contemp
AFST 481,AFST,481,16,58,2019-08-28,1,W 13.30-15.20,WALL81 301,4.64,3.44,10,"Medicine, Race, Slave Trade"
AMST 007,AMST,7,17,30,2019-08-26,1,M 13.00-16.00,LORIA 358,4.69,2.46,65,Furniture and American Life
AMST 029,AMST,29,0,2,2019-08-22,1,1 HTBA,NA,0,0,66,Henry Thoreau
AMST 116,AMST,116,50,77,2019-08-30,1,MW 13.30-14.20,WTS A30,4.45,3.5,67,Build an American Religion
AMST 141,AMST,141,14,22,2019-09-04,1,TTh 11.35-12.25,YK212 106,3.2800000000000002,3.11,68,The American West
AMST 160,AMST,160,38,56,2019-09-03,1,TTh 10.30-11.20 + 1,WLH 207,3.8200000000000003,3.2800000000000002,3,Rise &Fall of Atlantic Slavery
AMST 188,AMST,188,27,37,2019-08-28,1,TTh 13.30-14.20,WLH 117,3.63,3,70,ColonialPeriodAmericanHistory
AMST 209,AMST,209,175,346,2019-08-29,1,TTh 13.00-14.15,WLH 201,4.89,3.35,71,"Race, Politics, and Law"
AMST 227,AMST,227,16,58,2019-08-27,1,W 9.25-11.15,WALL81 201,0,0,12,FrmVotingRightActto#blacklives
AMST 236,AMST,236,60,111,2019-08-28,1,TTh 11.35-12.25,HLH17 101,3.63,2.95,73,American Energy History
AMST 238,AMST,238,81,137,2019-09-01,1,TTh 11.35-12.50,WLH 201,4.11,3.17,7,Third World Studies
AMST 257,AMST,257,15,27,2019-09-02,1,T 9.25-11.15,LC 204,3.56,3.25,75,Modern Apocalyptic Narratives
AMST 258,AMST,258,14,29,2019-08-27,1,W 13.30-15.20,LC 212,4.22,3.18,76,WildernessNorthAmerImagination
AMST 309,AMST,309,25,44,2019-08-27,1,W 13.30-15.20,WALL81 201,4.08,3.03,18,Education and Empire
AMST 312,AMST,312,16,28,2019-09-03,1,W 15.30-17.20,WLH 013,4,3,78,The Postcolonial City
AMST 325,AMST,325,1,7,2019-08-26,1,T 9.25-11.15 + 1,WLH 009,3.25,3.25,79,The Essay Film
AMST 332,AMST,332,18,40,2019-08-28,1,W 13.30-15.20,WALL81 401,4.5600000000000005,2,80,Humbugs and Visionaries
AMST 335,AMST,335,19,63,2019-08-28,1,TTh 13.00-14.15,YK220 002,4.15,2.5300000000000002,81,Indigenous Geographies
AMST 341,AMST,341,17,47,2019-08-27,1,M 13.30-15.20,RKZ 08,3.66,3.44,25,Race and Capitalism
AMST 345,AMST,345,16,27,2019-08-29,1,M 13.30-15.20,WLH 011,4.42,3.94,83,Latinx Ethnography
AMST 349,AMST,349,12,22,2019-09-01,1,T 10.30-12.20,CCAM 103,4.5,2.75,84,Movement Research
AMST 355,AMST,355,18,63,2019-08-28,1,M 15.30-17.20,RKZ 08,4,3.2,22,White America
AMST 369,AMST,369,0,4,2019-08-22,1,1 HTBA,NA,4.29,3.27,86,Marxism & Social Movts: 20th C
AMST 374,AMST,374,15,30,2019-08-27,1,TTh 9.00-10.15,LC 104,4.1,3.59,87,Cultures of Militarism
AMST 403,AMST,403,13,16,2019-08-27,1,Th 13.30-15.20,DC 215,4.08,3.15,88,Intro to Public Humanities
AMST 406,AMST,406,0,10,2019-08-22,1,1 HTBA,NA,3.86,3.12,89,The Spectacle of Disability
AMST 410,AMST,410,18,52,2019-08-28,1,Th 13.30-15.20,BASSLB L73,4.75,4,90,AsianAmerWomen&Gender1830-Pres
AMST 435,AMST,435,14,35,2019-08-29,1,Th 13.30-15.20,SA10 105,4.44,4.09,91,Inequality InAmerica
AMST 439,AMST,439,28,40,2019-08-28,1,W 13.30-15.20,WLH 003,4.18,3.18,92,Fruits of Empire
AMST 441,AMST,441,17,29,2019-08-27,1,W 9.25-11.15,HLH28 B-1,3.66,2.76,93,Indians&theSpanishBorderlands
AMST 443,AMST,443,17,50,2019-08-28,1,T 13.30-15.20,WALL81 201,4.42,3.64,26,Toni Morrison Black Life
AMST 451,AMST,451,14,31,2019-08-27,1,Th 13.30-15.20,WALL81 301,4.37,3.41,95,"Religion, War, and America"
AMST 462,AMST,462,12,62,2019-08-27,1,W 15.30-17.20,YK212 004,4.5,3.13,96,Privilege in the Americas
AMST 463,AMST,463,8,13,2019-08-26,1,W 10.30-13.20 + 1,DMCA,3.44,3.17,97,Documentary Film Workshop
AMST 471,AMST,471,1,1,2019-09-06,1,1 HTBA,NA,3.66,3.36,98,IndividReading&ResearchJrs&Srs
AMST 479,AMST,479,19,40,2019-09-01,1,T 13.30-15.20,WALL81 401,4.5,3.67,99,Migrant & Refugees in Lit.
AMST 486,AMST,486,22,53,2019-08-31,1,T 13.30-15.20,WALL81 301,4.29,3.58,100,Asian American Race & Empire
AMST 491,AMST,491,3,4,2019-08-29,1,1 HTBA,NA,3.81,3.7199999999999998,101,Senior Project
AMST 493,AMST,493,11,12,2019-09-06,1,M 15.30-17.20 + 1,WLH 112,3.75,3.17,102,SeniorProject: IntensiveMajor
AMTH 222,AMTH,222,113,152,2019-08-28,1,MWF 10.30-11.20,WTS A53,2.95,2.98,122,LinearAlgebraWithApplications
AMTH 244,AMTH,244,86,116,2019-08-29,1,TTh 11.35-12.50,ML 211,3.58,3.54,123,Discrete Mathematics
AMTH 247,AMTH,247,0,7,2019-08-26,1,1 HTBA,NA,3.1,3,124,Partial Differential Equations
AMTH 262,AMTH,262,0,9,2019-08-22,1,1 HTBA,NA,3.02,3.34,125,Comp Tools for Data Science
AMTH 342,AMTH,342,4,10,2019-08-27,1,MW 13.00-14.15,DL 514,3.17,4.17,126,Linear Systems
AMTH 420,AMTH,420,11,22,2019-08-27,1,MW 14.30-15.45,LOM 206,4.02,3.25,127,Mathematics of Data Science
AMTH 428,AMTH,428,26,30,2019-08-27,1,MWF 10.30-11.20,KGL 116,3.95,3.03,128,Science of Complex Systems
AMTH 437,AMTH,437,57,83,2019-08-28,1,TTh 13.00-14.15,WTS A51,3.7800000000000002,3.54,129,Optimization Techniques
