subject,name
AFAM,African American Studies
AFST,African Studies
AMST,American Studies
AMTH,Applied Mathematics
ANTH,Anthropology
ARCH,Architecture
ART,Art
ASTR,Astronomy
BENG,Biomedical Engineering
CHEM,Chemistry
CHNS,Chinese
CPSC,Computer Science
DRAM,Drama
E&EB,Ecology & Evolutionary Biology
EALL,East Asian Lang and Lit
EAST,East Asian Studies
ECON,Economics
EDST,Education Studies
EENG,Electrical Engineering
ENGL,English
EP&E,"Ethics, Politics, & Economics"
ER&M,"Ethnicity, Race, & Migration"
EVST,Environmental Studies
FILM,Film & Media Studies
FREN,French
G&G,Geology and Geophysics
GLBL,Global Affairs
GMAN,German
HIST,History
HSAR,History of Art
HSHM,"Hist of Science, Hist of Med"
HUMS,Humanities
ITAL,Italian
JDST,Judaic Studies
LAST,Latin American Studies
LING,Linguistics
LITR,Literature
MATH,Mathematics
MB&B,Molecular Biophysics & Biochem
MCDB,"Molecular, Cellular & Dev Biol"
MENG,Mechanical Engineering
MGT,School of Management
MMES,Modern Middle East Studies
MUSI,Music Department
NELC,Near Eastern Langs & Civs
PHIL,Philosophy
PHYS,Physics
PLSC,Political Science
PSYC,Psychology
RLST,Religious Studies
RUSS,Russian
S&DS,Statistics and Data Science
SAST,South Asian Studies
SOCY,Sociology
SPAN,Spanish
THST,Theater Studies
WGSS,Women'sGender&SexualityStudies
