id,name,codes,count,times
621,Atheism and Buddhism,EAST 390 / RLST 102,52,Th 13.30-15.20
1115,The Screenwriter's Craft,FILM 330,52,T 14.30-16.30
1235,Strategy,GLBL 381 / PLSC 140,52,T 13.30-15.20
585,Culture and Human Evolution,E&EB 336 / HSHM 453 / HUMS 336,48,T 13.30-15.20
448,Autism and Related Disorders,CHLD 350 / EDST 350 / PSYC 350,45,T 15.30-17.00
247,The Global Museum,ARCH 380 / HSAR 437 / MMES 382,43,T 13.30-15.20
447,"Language, Literacy, and Play",CHLD 128 / EDST 128 / PSYC 128,43,W 9.25-11.15
400,Philosophy for Psychologists,CGSC 313 / PHIL 305 / PSYC 313,42,M 13.30-15.20
675,Strategies for Development,ECON 470 / EP&E 232 / GLBL 233,42,M 15.30-17.20
881,Daily Themes,ENGL 450,42,M 13.30-15.20
